reviewId,content,score
87e750d5-186c-49c4-a28d-9a9461c4b87b,👍,5
bd55077d-e20c-472f-93c5-a9937c9a1617,I have no complaint,5
6a2e6f71-ded3-436b-b88e-07af3a7df2e5,Awasome yrr 😁,4
69c51258-3386-4580-9832-9ab5332d1421,The game is ok i guess. I don't quite know what the point is as I never saw any instructions or rules to the game. It seems to add unnecessary verbage.,3
ed6c71b7-de70-4b06-959a-5372b540f426,Awesome,5
358d9cef-30fc-4c6b-9624-c4c485dd2197,It's fun and catchy. You just want to keep playing non-stop,5
f5335805-1460-4571-a5f0-f9c6dcc49cdd,Good,5
7f4613bf-41e0-488f-b9d7-c75dfbb78ecb,Wicked,5
c6dc97f1-612d-437e-ac40-d03265d87e71,Great game,5
56c5ce90-6d0d-420e-93cf-fb1bad604e07,At the level 767 stage we can't complete the level by watching ads if ads also soon .bad,2
82edb3fb-dc2c-4412-b3e6-02e83d6dfa4e,So nice game,4
241fc317-ed8b-4273-8783-b529a0da10f7,Good game,5
8d5b9542-fd47-4519-9382-c32fc1b98aba,Good but i wish they gave you more hearts lol,5
d33f2957-d2ce-4698-add0-7d97736f9b7e,Super fun!!!!,5
d2fb5395-f1ef-42a2-945c-48473105bc5a,Nice brains,5
5dc147cf-c3ad-499c-8bf8-5439b97c90f2,"This game is only for gents, not for kids. Due to sexual advertisements are podcasts too much and no option to report or stop these advertisements. So, everyone must and should don't install this game to your child. And also when getting extra moves and powers at the time of end with advertisements it shows the black screen and not responding until clearing this game in recent list. I never saw this kind of worst thing.",1
af46b582-c6e9-4c70-b246-cef166d9b592,One of the apps are favorate,5
d6e5a2fb-c1fb-444b-84f9-a2cca82994a8,Nice geme,5
cfcc470b-c931-4da1-9af8-2848055cad81,nice,5
4203874c-4f92-4ac6-87f4-c663e2cfda73,I love it,5
cc997fe7-4dd9-4da7-830e-c2969be0cb2c,I love it very much I played my iPhone video game is candy crush saga yesterday I've challenged different matches all together with 2 matches,3
9ac56080-99ba-41ec-a9fc-f022e597164f,Great,5
